image_id,target_class,deletion_auc,insertion_auc
ISIC_0032557,6,0.03939620405435562,0.04151288419961929
ISIC_0033092,1,0.03297973424196243,0.0329509861767292
ISIC_0027210,6,0.09093113988637924,0.2067958265542984
ISIC_0025924,6,0.13725680112838745,0.11450061202049255
ISIC_0033817,6,0.03307435289025307,0.07275310158729553
ISIC_0030283,6,0.05072770267724991,0.08219467103481293
ISIC_0024475,6,0.05906670540571213,0.05940629169344902
ISIC_0028406,6,0.05375586822628975,0.08904939144849777
ISIC_0031215,6,0.14130377769470215,0.08631598204374313
ISIC_0031065,6,0.1270681917667389,0.15361721813678741
ISIC_0026467,6,0.07684346288442612,0.06502360105514526
ISIC_0034093,1,0.042841117829084396,0.09414798021316528
ISIC_0032384,1,0.035704098641872406,0.24383366107940674
ISIC_0027146,1,0.14309534430503845,0.15420782566070557
ISIC_0028807,1,0.030022049322724342,0.08887309581041336
ISIC_0024673,1,0.038841117173433304,0.11575809866189957
ISIC_0025932,1,0.10244012624025345,0.09569619596004486
ISIC_0028747,1,0.16629287600517273,0.10827794671058655
ISIC_0027433,1,0.1614123284816742,0.12388323992490768
ISIC_0029515,4,0.07031379640102386,0.08311151713132858
ISIC_0031284,1,0.05053766444325447,0.0607314258813858
ISIC_0031789,5,0.9278069138526917,0.8772298693656921
ISIC_0030659,0,0.022331546992063522,0.039429061114788055
ISIC_0026831,1,0.01841145195066929,0.18943855166435242
ISIC_0032482,6,0.021847009658813477,0.11716296523809433
ISIC_0029201,6,0.19199518859386444,0.12500396370887756
ISIC_0026439,2,0.029884472489356995,0.06832850724458694
ISIC_0029779,6,0.11890748888254166,0.08577381074428558
ISIC_0033720,1,0.09557418525218964,0.16817554831504822
ISIC_0034255,1,0.08462937921285629,0.11853885650634766
